Ambrosia;Rare;Watcher;Enter Divinity Stance.
Ancient Potion;Uncommon;Any;Gain 1 Artifact.
Attack Potion;Common;Any;Choose 1 of 3 random Attack cards to add to your hand, it costs 0 this turn.
Blessing of the Forge;Common;Any;Upgrade all cards in your hand for the rest of combat.
Block Potion;Common;Any;Gain 12 Block.
Blood Potion;Common;Ironclad;Heal for 20% of your Max HP.
Bottled Miracle;Common;Watcher;Add 2 Miracles to your hand.
Colorless Potion;Common;Any;Choose 1 of 3 random Colorless cards to add to your hand, it costs 0 this turn.
Cultist Potion;Rare;Any;Gain 1 Ritual.
Cunning Potion;Uncommon;Silent;Add 3 Shiv+ to your hand.
Dexterity Potion;Common;Any;Gain 2 Dexterity.
Distilled Chaos;Uncommon;Any;Play the top 3 cards of your draw pile.
Duplication Potion;Uncommon;Any;This turn, your next card is played twice.
Elixir;Uncommon;Ironclad;Exhaust any number of cards in your hand.
Energy Potion;Common;Any;Gain 2 Energy.
Entropic Brew;Rare;Any;Fill all your empty potion slots with random potions.
Essence Of Darkness;Rare;Defect;Channel 1 Dark for each orb slot.
Essence of Steel;Uncommon;Any;Gain 4 Plated Armor.
Explosive Potion;Common;Any;Deal 10 damage to ALL enemies.
Fairy in a Bottle;Rare;Any;When you would die, heal to 30% of your Max HP instead and discard this potion.
Fear Potion;Common;Any;Apply 3 Vulnerable.
Fire Potion;Common;Any;Deal 20 damage.
Flex Potion;Common;Any;Gain 5 Strength. At the end of your turn, lose 5 Strength.
Focus Potion;Common;Defect;Gain 2 Focus.
Fruit Juice;Rare;Any;Gain 5 Max HP.
Gambler's Brew;Uncommon;Any;Discard any number of cards then draw that many.
Ghost in a Jar;Rare;Any;Gain 1 Intangible.
Heart of Iron;Rare;Ironclad;Gain 6 Metallicize.
Liquid Bronze;Uncommon;Any;Gain 3 Thorns.
Liquid Memories;Uncommon;Any;Choose a card in your discard pile and return it to your hand. It costs 0 this turn.
Poison Potion;Common;Silent;Apply 6 Poison.
Potion Of Capacity;Uncommon;Defect;Gain 2 Orb slots.
Power Potion;Common;Any;Choose 1 of 3 random Power cards to add to your hand, it costs 0 this turn.
Regen Potion;Uncommon;Any;Gain 5 Regen.
Skill Potion;Common;Any;Choose 1 of 3 random Skill cards to add to your hand, it costs 0 this turn.
Smoke Bomb;Rare;Any;Escape from a non-boss combat. Receive no rewards.
Snecko Oil;Rare;Any;Draw 5 cards. Randomize the cost of cards in your hand.
Speed Potion;Common;Any;Gain 5 Dexterity. At the end of your turn, lose 5 Dexterity.
Stance Potion;Uncommon;Watcher;Enter Calm or Wrath.
Strength Potion;Common;Any;Gain 2 Strength.
Swift Potion;Common;Any;Draw 3 cards.
Weak Potion;Common;Any;Apply 3 Weak.
