Accuracy;Shivs deal additional damage.
Rushdown;Whenever you enter Wrath, draw card.
After Image;Whenever you play a card, gain Block.
Amplify;Your next Power card is played twice this turn.
Live Forever;At the end of your turn, gain Plated Armor.
Enrage;Whenever you play a Skill, gains Strength.
Angry;Upon receiving attack damage, gains Strength.
Artifact;Negates debuff.
Attack Burn;For turn, whenever you play an Attack, Exhaust it.
Back Attack;Deals 50% more damage as it is attacking you from behind.
Barricade;Block is not removed at the start of your turn.
Battle Hymn;At the start of your turn, add Smites into your hand.
Beat Of Death;Whenever you play a card, take damage.
Berserk;At the start of your turn, gain.
Bias;At the start of your turn, lose Focus.
Block Return;When attacked, you gain Block.
Blur;Block is not removed at the start of your next turn.
Brutality;At the start of your turn, lose HP and draw card.
Buffer;Prevent the next time you would lose HP.
Bullet Time;The energy cost of all Green cards are now 0.
Burst;Your next Skill is played twice this turn.
Cannot Change Stance;Cannot change your stance this turn.
Choked;Whenever you play a card this turn, loses HP.
Collect;At the start of your next turn, put a Miracle+ into your hand.
Combust;At the end of your turn, lose HP and deal damage to ALL enemies.
Reactive;Upon receiving attack damage, changes its intent.
Confusion;Whenever you draw a card, randomize its cost.
Conserve;Energy is conserved this turn.
Constricted;At the end of your turn, take damage.
Mental Fortress;Whenever you switch Stances, gain Block.
Corpse Explosion;On death, deal damage equal to its Max HP to ALL enemies.
Corruption;Skills cost 0.
Creative AI;At the start of your turn, add random Power card into your hand.
Curiosity;Whenever you play a Power card, gains Strength.
Curl Up;On receiving attack damage, rolls up and gains Block.
Dark Embrace;Whenever a card is Exhausted, draw 1 card.
Demon Form;At the start of your turn, gain Strength.
Deva;At the start of your turn, gain Energy and increase this amount by 1.
Devotion;At the start of your turn, gain Mantra.
Dexterity Down;At the end of this turn, lose Dexterity.
Dexterity;Increases Block gained from cards by this amount.
Double Damage;Attacks deal double damage for turn.
Double Tap;Your next Attack is played twice this turn.
Draw;At the start of your turn, draw additional card.
Draw Card;Draw additional cards next turn.
Draw Down;Draw less card next turn.
Draw Reduction;Draw 1 less card next turn.
Duplication;Your next card is played twice this turn.
Echo Form;The first card you play each turn is played twice.
Electro;Lightning hits ALL enemies.
Blasphemer;At the start of your turn, die.
Energized;Gain additional [G] next turn.
Fasting;At the start of your turn, lose.
Entangled;You cannot play Attacks this turn.
Envenom;Whenever you deal unblocked attack damage, apply Poison.
Equilibrium;Retain your hand this turn.
Establishment;Whenever a card is Retained, lower its cost by .
Evolve;Whenever you draw a Status card, draw 1 card.
Explosive;Explodes in turns, dealing damage.
Extra Cards;Draw 1 additional card next turn.
Fading;Dies in turns.
Feel No Pain;Whenever a card is Exhausted, gain Block.
Fire Breathing;Whenever you draw a Status or Curse card, deal damage to ALL enemies.
Flame Barrier;When attacked, deals damage back.
Strength Down;At the end of this turn, lose Strength.
Flight;Receives 50% less attack damage.
Focus;Increases the effectiveness of Orbs by this amount.
Frail;Gain 25% less Block from cards for this turn.
Free Attack Power;Ignore energy cost on the next Attack you play.
Gambit;After turn, gain turns, gain [B] .
Growth;At the end of its turn, gains Strength.
Heatsink;Whenever you play a Power card, draw card.
Hello;At the start of your turn, add random Common cards into your hand.
Hex;Whenever you play a non-Attack card, shuffle Dazed into your draw pile.
Infinite Blades;At the start of your turn, add Shivs into your hand.
Intangible;Reduce ALL damage taken and HP loss to 1 this turn.
Inverted;Immune to damage.
Invincible;Can only lose more HP this turn.
Juggernaut;Whenever you gain Block, deal damage to a random enemy.
Knowledge;Whenever you play a Power card, draw cards.
Life Link;If other enemies are still alive, revives in 2 turns at 50% HP.
Like Water;At the end of your turn, if you are in Calm, gain Block.
Lock-On;Receives % more damage from Orbs for turn.
Loop;At the start of your turn, trigger the passive ability of your next Orb.
Machine Learning;At the start of your turn, draw additional card.
